id,op,site,class,rationale,diff
122,DROP,provedenie.law:66 drop premise `dopolnitelnyy_osmotr_proveden_strakhovshchikom(r)`,co-asserted,every scenario reaching the rule asserts this premise together with the others,-when dopolnitelnyy_osmotr_proveden_strakhovshchikom(r);
130,DROP,usloviya.law:28 drop premise `dostup_k_ts_besprepyatstvennyy(r)`,co-asserted,every scenario reaching the rule asserts this premise together with the others,-when dostup_k_ts_besprepyatstvennyy(r);
132,DROP,usloviya.law:29 drop premise `identifikatsiya_ts_provodima(r)`,co-asserted,every scenario reaching the rule asserts this premise together with the others,-when identifikatsiya_ts_provodima(r);
134,DROP,usloviya.law:30 drop premise `probeg_po_odometru_ustanovim(r)`,co-asserted,every scenario reaching the rule asserts this premise together with the others,-when probeg_po_odometru_ustanovim(r);
136,DROP,usloviya.law:31 drop premise `komplektnost_ustanovima(r)`,co-asserted,every scenario reaching the rule asserts this premise together with the others,-when komplektnost_ustanovima(r);
138,DROP,usloviya.law:32 drop premise `perechen_defektov_ustanovim(r)`,co-asserted,every scenario reaching the rule asserts this premise together with the others,-when perechen_defektov_ustanovim(r);
142,DROP,usloviya.law:34 drop premise `priznaki_prezhnikh_remontov_ustanovimy(r)`,co-asserted,every scenario reaching the rule asserts this premise together with the others,-when priznaki_prezhnikh_remontov_ustanovimy(r);
146,DROP,usloviya.law:45 drop premise `opredelyaetsya_stoimost_vosstanovitelnogo_remonta(`,equivalent,the strict rule for two or more appraisers dominates the defeasible denial; the sibling clause-7 rule establishes the same conclusion,-when opredelyaetsya_stoimost_vosstanovitelnogo_remonta(r);
164,DROP,"oformlenie.law:98 drop premise `otchet_podpis_utverzhdayushchego(o: o, fio: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when otchet_podpis_utverzhdayushchego(o: o, fio: _);"
166,DROP,"oformlenie.law:104 drop premise `otchet_nomer(o: o, nomer: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when otchet_nomer(o: o, nomer: _);"
168,DROP,"oformlenie.law:105 drop premise `otchet_data_sostavleniya(o: o, day: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when otchet_data_sostavleniya(o: o, day: _);"
170,DROP,"oformlenie.law:106 drop premise `otchet_marka(o: o, marka: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when otchet_marka(o: o, marka: _);"
172,DROP,"oformlenie.law:107 drop premise `otchet_model(o: o, model: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when otchet_model(o: o, model: _);"
174,DROP,"oformlenie.law:108 drop premise `otchet_gos_nomer(o: o, nomer: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when otchet_gos_nomer(o: o, nomer: _);"
176,DROP,"oformlenie.law:109 drop premise `otchet_data_osmotra(o: o, day: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when otchet_data_osmotra(o: o, day: _);"
178,DROP,"oformlenie.law:110 drop premise `otchet_zayavitel(o: o, naimenovanie: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when otchet_zayavitel(o: o, naimenovanie: _);"
180,DROP,"oformlenie.law:111 drop premise `otchet_strakhovshchik_naimenovanie(o: o, naimenova`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when otchet_strakhovshchik_naimenovanie(o: o, naimenovanie: _);"
182,DROP,"oformlenie.law:112 drop premise `otchet_strakhovshchik_bin(o: o, bin: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when otchet_strakhovshchik_bin(o: o, bin: _);"
184,DROP,"oformlenie.law:113 drop premise `otchet_strakhovshchik_rekvizity(o: o, rekvizity: _`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when otchet_strakhovshchik_rekvizity(o: o, rekvizity: _);"
186,DROP,"oformlenie.law:114 drop premise `otchet_strakhovshchik_adres(o: o, adres: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when otchet_strakhovshchik_adres(o: o, adres: _);"
190,DROP,"oformlenie.law:116 drop premise `otchet_opisanie_obekta(o: o, opisanie: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when otchet_opisanie_obekta(o: o, opisanie: _);"
192,DROP,"oformlenie.law:122 drop premise `otchet_stoimost_detaley(o: o, amount: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when otchet_stoimost_detaley(o: o, amount: _);"
194,DROP,"oformlenie.law:123 drop premise `otchet_obemy_rabot(o: o, opisanie: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when otchet_obemy_rabot(o: o, opisanie: _);"
196,DROP,"oformlenie.law:124 drop premise `otchet_stoimost_rabot(o: o, amount: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when otchet_stoimost_rabot(o: o, amount: _);"
200,DROP,"oformlenie.law:126 drop premise `otchet_stoimost_remonta(o: o, amount: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when otchet_stoimost_remonta(o: o, amount: _);"
202,DROP,"oformlenie.law:132 drop premise `otchet_kalkulyatsiya_spo(o: o, fayl: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when otchet_kalkulyatsiya_spo(o: o, fayl: _);"
206,DROP,"oformlenie.law:134 drop premise `otchet_iskhodnye_dannye(o: o, perechen: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when otchet_iskhodnye_dannye(o: o, perechen: _);"
208,DROP,oformlenie.law:140 drop premise `otchet_soderzhit_titulnyy_list(o)`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when otchet_soderzhit_titulnyy_list(o);
210,DROP,"oformlenie.law:141 drop premise `otchet_raschet_iznosa(o: o, soderzhanie: _)`",element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly","-when otchet_raschet_iznosa(o: o, soderzhanie: _);"
212,DROP,oformlenie.law:142 drop premise `otchet_soderzhit_stoimosti_i_obemy(o)`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when otchet_soderzhit_stoimosti_i_obemy(o);
214,DROP,oformlenie.law:143 drop premise `otchet_soderzhit_prilozheniya(o)`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when otchet_soderzhit_prilozheniya(o);
222,DROP,oformlenie.law:162 drop premise `otchet_predusmatrivaet_otmetku_o_soglasii(o)`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when otchet_predusmatrivaet_otmetku_o_soglasii(o);
224,DROP,oformlenie.law:163 drop premise `otchet_predusmatrivaet_otmetku_ob_otsutstvii_zhalo`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when otchet_predusmatrivaet_otmetku_ob_otsutstvii_zhalob(o);
230,DROP,oformlenie.law:184 drop premise `otchet_predostavlen_v_bumazhnom_vide(o)`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when otchet_predostavlen_v_bumazhnom_vide(o);
232,DROP,oformlenie.law:185 drop premise `format_ne_pozvolyaet_vnosit_izmeneniya(o)`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when format_ne_pozvolyaet_vnosit_izmeneniya(o);
234,DROP,oformlenie.law:191 drop premise `otchet_predostavlen_v_elektronnom_vide(o)`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when otchet_predostavlen_v_elektronnom_vide(o);
236,DROP,oformlenie.law:192 drop premise `format_ne_pozvolyaet_vnosit_izmeneniya(o)`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when format_ne_pozvolyaet_vnosit_izmeneniya(o);
238,DROP,oformlenie.law:198 drop premise `otchet_soderzhit_svedeniya_punkta_1(o)`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when otchet_soderzhit_svedeniya_punkta_1(o);
239,DROP,oformlenie.law:199 drop premise `otchet_soderzhit_itogovuyu_velichinu(o)`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when otchet_soderzhit_itogovuyu_velichinu(o);
241,DROP,oformlenie.law:200 drop premise `otchet_soderzhit_otmetki(o)`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when otchet_soderzhit_otmetki(o);
243,DROP,oformlenie.law:201 drop premise `otchet_utverzhden(o)`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when otchet_utverzhden(o);
245,DROP,oformlenie.law:202 drop premise `otchet_predostavlen_v_dopustimom_vide(o)`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when otchet_predostavlen_v_dopustimom_vide(o);
247,DROP,"oformlenie.law:210 drop premise `otchet_po_raschetu(o: o, r: r)`",binding,"every scenario holds one vehicle, one calculation and one report; a rule that pairs entities across cases has nothing to pair with","-when otchet_po_raschetu(o: o, r: r);"
249,DROP,"oformlenie.law:211 drop premise `strakhovshchik_po_raschetu(r: r, s: s)`",binding,"every scenario holds one vehicle, one calculation and one report; a rule that pairs entities across cases has nothing to pair with","-when strakhovshchik_po_raschetu(r: r, s: s);"
251,DROP,oformlenie.law:212 drop premise `otchet_vklyuchaet_kalkulyatsiyu_iz_spo(o)`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when otchet_vklyuchaet_kalkulyatsiyu_iz_spo(o);
253,DROP,oformlenie.law:213 drop premise `otchet_oformlen_po_prilozheniyu_3(o)`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when otchet_oformlen_po_prilozheniyu_3(o);
263,DROP,sroki-i-vozrazheniya.law:75 drop premise `otmetka_o_nesoglasii_prostavlena(r)`,untested,no scenario takes this path (disagreement with reasons; simplified-procedure defeater of the response period; report never provided),-when otmetka_o_nesoglasii_prostavlena(r);
264,NEG,sroki-i-vozrazheniya.law:75 add not,untested,no scenario takes this path (disagreement with reasons; simplified-procedure defeater of the response period; report never provided),-when otmetka_o_nesoglasii_prostavlena(r); / +when not otmetka_o_nesoglasii_prostavlena(r);
265,DROP,sroki-i-vozrazheniya.law:76 drop premise `prichiny_nesoglasiya_ukazany(r)`,untested,no scenario takes this path (disagreement with reasons; simplified-procedure defeater of the response period; report never provided),-when prichiny_nesoglasiya_ukazany(r);
266,NEG,sroki-i-vozrazheniya.law:76 add not,untested,no scenario takes this path (disagreement with reasons; simplified-procedure defeater of the response period; report never provided),-when prichiny_nesoglasiya_ukazany(r); / +when not prichiny_nesoglasiya_ukazany(r);
281,UNLESS,sroki-i-vozrazheniya.law:116 drop defeater,untested,no scenario takes this path (disagreement with reasons; simplified-procedure defeater of the response period; report never provided),-unless UproshchennoeOformlenie when uproshchennoe_oformlenie_proisshestviya(r)
307,DROP,sroki-i-vozrazheniya.law:203 drop premise `not otchet_predostavlen_poterpevshemu(r)`,untested,no scenario takes this path (disagreement with reasons; simplified-procedure defeater of the response period; report never provided),-when not otchet_predostavlen_poterpevshemu(r);
335,DROP,"organizatsiya.law:23 drop premise `raschet_osushchestvlyaet_strakhovshchik(r: r, s: s`",binding,"every scenario holds one vehicle, one calculation and one report; a rule that pairs entities across cases has nothing to pair with","-when raschet_osushchestvlyaet_strakhovshchik(r: r, s: s);"
337,DROP,"organizatsiya.law:24 drop premise `zayavlenie_po_raschetu(z: z, r: r)`",binding,"every scenario holds one vehicle, one calculation and one report; a rule that pairs entities across cases has nothing to pair with","-when zayavlenie_po_raschetu(z: z, r: r);"
339,DROP,organizatsiya.law:25 drop premise `zayavlenie_soderzhit_svedeniya_prilozheniya_1(z)`,co-asserted,every scenario reaching the rule asserts this premise together with the others,-when zayavlenie_soderzhit_svedeniya_prilozheniya_1(z);
340,DROP,organizatsiya.law:26 drop premise `spo_primeneno(r)`,co-asserted,every scenario reaching the rule asserts this premise together with the others,-when spo_primeneno(r);
344,DROP,organizatsiya.law:38 drop premise `osmotr_oformlen(r)`,co-asserted,every scenario reaching the rule asserts this premise together with the others,-when osmotr_oformlen(r);
346,DROP,organizatsiya.law:39 drop premise `spo_primeneno(r)`,co-asserted,every scenario reaching the rule asserts this premise together with the others,-when spo_primeneno(r);
350,DROP,"otsenshchiki.law:38 drop premise `raschet_osushchestvlyaet_otsenshchik(r: r, o: o)`",binding,"every scenario holds one vehicle, one calculation and one report; a rule that pairs entities across cases has nothing to pair with","-when raschet_osushchestvlyaet_otsenshchik(r: r, o: o);"
352,DROP,"otsenshchiki.law:39 drop premise `zayavlenie_po_raschetu(z: z, r: r)`",binding,"every scenario holds one vehicle, one calculation and one report; a rule that pairs entities across cases has nothing to pair with","-when zayavlenie_po_raschetu(z: z, r: r);"
354,DROP,otsenshchiki.law:40 drop premise `zayavlenie_soderzhit_svedeniya_prilozheniya_1(z)`,co-asserted,every scenario reaching the rule asserts this premise together with the others,-when zayavlenie_soderzhit_svedeniya_prilozheniya_1(z);
355,DROP,otsenshchiki.law:41 drop premise `spo_primeneno(r)`,co-asserted,every scenario reaching the rule asserts this premise together with the others,-when spo_primeneno(r);
364,CMP,otsenshchiki.law:60 < -> <=,equivalent,the strict rule for two or more appraisers dominates the defeasible denial; the sibling clause-7 rule establishes the same conclusion,-when n < 2; / +when n <= 2;
365,DROP,otsenshchiki.law:60 drop premise `n < 2`,equivalent,the strict rule for two or more appraisers dominates the defeasible denial; the sibling clause-7 rule establishes the same conclusion,-when n < 2;
366,CONST,otsenshchiki.law:60 2 -> 3,equivalent,the strict rule for two or more appraisers dominates the defeasible denial; the sibling clause-7 rule establishes the same conclusion,-when n < 2; / +when n < 3;
383,DROP,zayavlenie.law:24 drop premise `zayavlenie_soderzhit_datu_i_vremya_postupleniya(z)`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when zayavlenie_soderzhit_datu_i_vremya_postupleniya(z);
385,DROP,zayavlenie.law:25 drop premise `zayavlenie_soderzhit_svedeniya_ob_imushchestve(z)`,element,"the scenarios exercise a complete document and specific omissions, not each element omitted singly",-when zayavlenie_soderzhit_svedeniya_ob_imushchestve(z);
398,DROP,"gibel-ts.law:66 drop premise `raschet_po_ts(r: r, v: v)`",binding,"every scenario holds one vehicle, one calculation and one report; a rule that pairs entities across cases has nothing to pair with","-when raschet_po_ts(r: r, v: v);"
400,DROP,gibel-ts.law:67 drop premise `ts_schitaetsya_unichtozhennym(v)`,co-asserted,every scenario reaching the rule asserts this premise together with the others,-when ts_schitaetsya_unichtozhennym(v);
408,DROP,gibel-ts.law:80 drop premise `ts_schitaetsya_unichtozhennym(v)`,co-asserted,every scenario reaching the rule asserts this premise together with the others,-when ts_schitaetsya_unichtozhennym(v);
418,DROP,"oplata-remonta.law:22 drop premise `oplata_remonta_soglasovana(r: r, p: p)`",co-asserted,every scenario reaching the rule asserts this premise together with the others,"-when oplata_remonta_soglasovana(r: r, p: p);"
